inputName,size,a[size]
values_84,10,"{53958461.134, 575657556.665, -339161114.154, -1722645048.067, 1326729668.459, 22549382.06, 1017307970.356, -1588932030.179, -1341920807.696, -1357303299.07"
values_30,29,"{-1955674028.125, -1220517936.53, -474109803.808, -343616784.126, -642427000.577, 417536658.217, 1251553943.055, 107696192.103, 912663893.878, -1088025271.983, 1047476469.707, -106114361.659, 873251354.947, 4160968.591, -845275099.265, 1562836849.723, -635379720.35, -92136979.129, -745922090.409, 411842160.692, 1731638395.754, 890189305.125, 1615997764.191, -1278310948.683, 1208454604.731, 494191733.187, -924974923.596, 1037145180.197, -693401111.787"
values_96,29,"{-1600241592.464, -2038856392.725, -2070807805.475, 31471674.296, -26221423.74, 2030482176.65, 189169032.45, -1923339715.788, 478825694.481, 1452403098.274, 549778260.304, 913996954.088, 1340905294.989, -1143953.352, -1423365883.45, -652604496.876, 520508561.432, 715514421.025, -937760354.993, -727010885.115, 973935706.907, 1825066990.786, -887835733.429, 806369390.168, 1617814546.588, -292861801.149, 1092662019.348, 1668902277.033, 1874540866.357"
values_15,5,"{2141934734.988, 1967861908.503, -333633054.23, -1270153134.493, 1319270261.872"
values_16,21,"{-311045693.496, 1062203719.69, 105516329.013, 1613066368.927, 1521076264.533, -1732714331.928, 1064890464.661, 1164869858.4, 1700580872.036, 288816080.928, -1694768898.488, 570786289.419, 1153252732.424, -2026337345.139, 1997976933.707, 2020771426.735, 517875525.989, -1818798120.7, 2124170571.111, 2102767785.32, 1747847456.459"
values_94,6,"{694148100.626, -42039824.115, 1578579377.482, -148977989.878, -948190311.876, 27009851.882"
values_90,6,"{1812691233.352, -167659394.272, 605003193.438, 1083072063.877, 1788208981.174, 1592026151.864"
values_52,8,"{-794264547.902, -974435129.018, -362539404.858, -733599790.56, 15076084.444, -1316227182.436, -1054437922.467, -576881767.789"
values_78,24,"{1340623021.703, -1519120509.732, 1450521590.178, -1753111517.046, 1695638873.209, 748551210.529, -1716185743.007, 694007760.362, -1361532772.878, -589024733.134, 1934133027.322, -1654557834.567, 262569070.07, 1817003026.354, 523515575.713, 714663240.332, -202377461.492, -1928009770.28, -1654805770.207, 1512353751.13, -1623346250.955, 516719979.629, -2075754133.901, -291404245.814"
values_20,9,"{1363444919.871, 1876927431.416, -1995590842.288, -2036709073.546, -1037479309.882, 343922987.084, -1308945095.969, 1179193294.164, -642080503.744"
values_53,10,"{-1154739181.301, -687797805.837, -218111249.061, 209411201.419, -460041710.871, 40515631.527, -690480289.0, -1760942587.631, 1192660413.149, -1789836151.711"
values_43,22,"{430808248.226, -2072638922.82, 468058657.378, 1912273181.648, 1229378604.504, 760596176.664, 1949056695.089, 63892704.5, 444251693.85, 926029538.472, 382383994.245, -1082864500.271, -1489582355.121, -622585643.227, -2146567418.484, 2018990.483, -960444179.68, 1358906755.881, 1248178058.169, -1714458395.715, 1541575337.643, 2025642544.206"
values_42,26,"{127757913.996, 1090761872.783, 982602796.926, 1582921692.691, -1390087930.045, -14485056.334, 87164331.086, -1573024413.248, -862528808.692, 2121468080.691, -464459080.579, 1047493399.116, -1542049698.557, 1447439585.626, 1605834019.737, -40170365.275, 2061792458.12, -1161652829.197, 289497159.365, 2022896927.72, 1111127290.353, 993685445.4, 1133689633.152, 1537813263.122, -2082770214.172, -1451333619.089"
values_0,15,"{-395877975.844, 666654163.432, 1549326501.361, 1939492441.889, 1616794783.584, -568152954.181, -1931507536.728, 109379963.895, -1368166093.169, -81341541.04, 1618310422.895, 1145891751.46, 656560942.783, -1963387177.038, 1333326880.611"
values_61,12,"{1632651623.389, -507124042.057, -582111981.945, -2131627882.347, -777757120.272, -729698832.266, -1578714864.643, -173403591.842, -1815431002.487, 1759749235.125, 2027552433.366, -419756924.012"
values_97,10,"{1245718340.246, 234760137.806, 1861362087.208, -1049498045.206, -1731409487.89, -2122973635.887, 655949276.689, 1886971026.289, -408561099.505, -1530848923.461"
values_14,11,"{-1955258454.088, 2067305889.833, 1700815521.619, -1515894885.142, -1807857600.717, -263107857.6, 620653132.614, 656192377.771, -1495028164.179, -1478215049.559, -1715661044.436"
values_87,16,"{1915991132.645, 1282227512.392, -624697722.427, 488451479.178, -259538910.346, 763912241.317, 383142527.818, -58769493.843, -874702293.068, -588277957.092, 2071405460.227, 1956586751.978, 1595537059.731, 1670195179.672, -932537113.783, -605995306.446"
values_50,16,"{1369556280.052, 1127664263.572, 1703740807.405, -1584662694.883, -836847830.605, 2141782576.767, -1084739430.526, -1720736364.087, 2107514925.833, 661359151.907, 1110269450.761, -1651892870.185, -1893481731.931, -1877367949.094, -1245840526.949, 1696125666.822"
values_83,17,"{-1734827642.94, 869197112.388, -777619343.396, 104314807.035, -1895932841.784, 624203881.945, -754235618.199, -540941468.791, -1557369190.648, -660274415.123, 315919564.638, 1143660883.631, -1462705549.143, 707614084.641, -423256750.196, 1996078238.845, -1929058434.029"
values_67,17,"{-1476015317.545, -1895584080.08, 279609398.741, -1020149753.756, -1090752692.335, 359061513.079, -1244134627.286, -25252519.441, 1373963724.411, 426834933.394, -1187156232.06, -330597275.737, 1928953426.078, -1210784871.567, -2055977708.771, -1096786025.604, -1884323298.941"
values_86,32,"{1408350829.284, 1657886335.089, 812820736.794, 150470471.805, 1729186833.905, 1289034330.745, 2042603742.123, 309195165.908, -1788002774.817, -926303805.609, -583020012.421, 1519573326.948, -735147473.041, 612296295.153, -658203438.96, -1496477361.9, -1479705779.236, 2042907875.178, 1048608275.398, -240841600.486, -1186584831.063, -1879492752.856, -1352118377.242, 2084765698.173, 294127324.412, -1916532244.83, -1865755714.271, -81124629.601, 1598975380.787, 728832986.273, -701916232.437, 1035480591.413"
values_23,13,"{-909931374.804, 1618637001.384, 2128527769.312, -1910772760.569, 2128058474.949, -1904509925.467, 346754774.373, 2002743954.481, -1981212563.464, 958726802.505, 1299776487.224, -2108496798.362, 343047510.041"
values_64,12,"{-1063820097.587, -1662417697.48, -864896044.075, -1738153123.577, -1388617583.312, -1765425592.277, -357382635.978, -2083141723.19, 752810107.649, -495811900.981, -222634893.833, -892519722.773"
values_44,27,"{1616064907.487, 349245615.677, -894680234.699, 468941846.291, 137332656.482, -1565299903.468, -1222289624.889, 1273448543.756, -1012822569.458, 81205337.156, 1250321527.992, -1899905601.133, -1987678670.686, -883583107.011, -237033892.191, -1139226065.207, 1688098498.046, 1792900335.856, -1535059907.464, -1429131769.937, -1347562894.148, -215954878.588, -2092103001.163, -1226027290.138, -1163472090.502, 393835691.645, 365480609.717"
values_71,24,"{-1986394846.483, 790971869.649, -674946798.31, -1962735081.409, 1064621012.208, -756010294.825, -1194935055.879, -133448951.616, -924336839.113, -86031571.201, -1380120369.137, -1792890449.238, 1810980612.427, -456234469.361, -1625033576.595, 1958129140.043, 1546913456.433, 21881433.775, -1726996790.778, 354294792.003, -1077799531.717, -941627706.182, -1281159576.991, 1889655231.499"
values_93,18,"{925272700.713, 609059360.574, 668313786.344, 1774553285.365, 1569772971.512, 895838566.215, 66424002.103, 1120087162.05, 155515601.51, -405743402.279, 293644206.236, 777357490.042, -372382808.81, 1971726543.975, 1006636330.175, 1436593400.261, 1071214763.462, 1323399098.453"
values_88,15,"{1813432024.071, -55157079.499, -1116967725.619, -1068121228.192, 1188632555.316, 678161023.719, 1738295711.522, 616596700.52, 1707210410.768, 1481727983.823, 142054813.367, 1590594028.967, 496742995.683, -411957928.37, 948652519.229"
values_26,29,"{837004670.673, 1485109957.592, 1746417215.91, 293411137.824, 708813261.518, 199040300.501, 316169046.749, 806127083.64, -353422575.992, -1975518496.452, -1415886656.731, 950512907.197, -749222632.973, -357798166.865, -1007073805.383, 1906534182.065, -1867626321.971, -367371914.998, 1641054318.822, -991063191.659, 902965641.671, 1499593542.144, 128300421.099, 304628458.296, -23479141.796, -648857303.933, 1085782990.115, 673876812.355, -234530250.201"
values_59,3,"{-939930038.054, 39456443.867, 296583510.268"
values_57,25,"{235258254.291, -1880224928.55, -562617339.275, 2011516934.368, 1063285971.912, 1413614698.343, -930502285.088, 1411718670.55, 1609941310.477, 1857536927.664, -78526510.16, 924731465.666, -454605393.832, -684856609.387, 570555829.033, -1112036496.064, -1153086220.872, -1659960698.23, 946755794.649, -630931880.591, 421061368.077, 1879331927.645, 840141973.655, 1546250837.747, -642035682.104"
values_82,22,"{625664523.152, -150176041.161, -1339477076.252, -715507913.227, -844620812.35, -198904015.235, 706242650.599, -1652773794.112, 1506326648.365, -2013390128.934, -1778929662.474, -1629884544.67, -718054490.64, 1092923674.354, 1336988486.467, 1335129195.364, -2115624397.815, 359605489.02, -1787921994.655, 1523114936.599, -1429681641.458, 668956808.449"
values_75,13,"{-1657189254.992, 1258684396.294, -1997925993.721, 1283930171.201, 768170528.07, -1761978530.081, -941994203.112, -1242905913.196, -102004418.536, 597556364.598, -2081697226.058, 1568807715.627, -53289302.018"
values_51,25,"{-1719051637.469, 621441425.554, -1832328926.41, -1621311280.791, 1385456177.287, -450780361.541, 2118363269.806, 900726730.543, -1151238525.279, -831957882.268, -538314887.121, 1222141870.209, 126370131.993, -1824705468.255, 2025316543.434, 256870469.878, -1555251965.302, 195713324.365, -1532567560.944, -1078829915.549, 1684623907.013, -2019558081.716, 919603392.389, -788912507.068, 1942745349.898"
