inputName,size,a[size]
values_84,3,"{-29757, -13961, 15146"
values_30,7,"{27400, 16629, -25899, 20100, 24124, -4640, 2944"
values_96,15,"{7040, 20081, 4872, 5318, 24780, 21771, 10912, -7004, -16776, 8832, -30587, 13480, 24576, -27974, -19805"
values_15,6,"{29374, 4209, 26438, -10822, -28029, 30176"
values_16,12,"{15510, 31164, -1412, 28463, -22881, -7802, 31036, 13342, 6908, -24485, 10159, 27796"
values_94,17,"{20573, -1388, -20204, 19434, 11363, 5569, -1941, -5746, 14129, -21233, -17605, -22414, 2235, -13855, -11357, -21760, -8346"
values_90,27,"{-6270, -13290, 28996, 13686, 17681, -2076, 5345, 18682, 15045, -11599, 5635, 18560, -13716, 10335, -27301, -19348, 13359, 25834, -12861, 8977, -27848, 9055, -20224, -17901, 13953, 32561, -10745"
values_52,27,"{-31501, -20475, 9743, -8424, -2058, -12195, 30619, -13333, 3824, -10925, 1102, 20227, 867, -24266, 17402, 14990, -26485, -6406, -30116, 13947, 2088, -30581, -16286, 24758, -15330, -29639, -1358"
values_78,27,"{9663, 1494, 18587, 22685, 18243, -30410, 16429, 15704, 6884, -22982, -20371, 9657, -19787, 26693, 10279, 7122, 10956, -1111, -23579, -28586, 29733, -23282, 32302, -20777, 6656, 12279, -15851"
values_20,31,"{-28123, -28479, 18136, -17197, -29790, -10075, 10253, -17709, 20250, -8511, -24788, 4590, -27246, 7802, 27110, 14984, -30664, -8806, -22156, -8848, -30772, 14602, 32683, -14983, 22897, 11664, -24473, 27424, 24166, 14884, -3964"
values_53,6,"{-9369, 12026, 19779, -8882, -2796, -10370"
values_43,21,"{-19167, -29458, -11640, 14439, 25600, 11568, -1633, 29574, -15046, -30389, 30330, 9070, 6535, 28717, -12077, -11864, 25024, 16289, -26115, 5687, -15661"
values_42,17,"{-16454, -11611, 13454, 14058, -1327, 1047, 23137, 19128, -24780, -32115, 15981, -18101, 12531, -27421, 20794, 3011, 9448"
values_0,31,"{-32235, -14782, 27034, -16680, 5547, 15160, -10821, -23779, -31785, -28674, -4566, 16171, -28391, -8613, -9166, -4734, -21453, 10603, 20524, 23368, -10784, 16615, -20169, -16162, 20050, 25752, -2973, -17754, 2357, -24570, -16771"
values_61,18,"{4434, -2074, 1764, 4484, 628, 30131, -11147, -7439, 16765, 17268, -13421, -2262, 21693, 19264, -131, 19054, 3253, -16066"
values_97,21,"{-718, 8842, -2980, -26091, 31379, -24744, 16824, 4683, 11960, -747, -25841, 21606, 10104, -10691, 29361, -27611, -19945, 24699, 4016, -11559, 26086"
values_14,10,"{8672, 9408, 11758, 13639, 15474, 25717, -10809, -5431, -4944, 6591"
values_87,9,"{18238, -28321, 18031, 1081, 31452, -21666, 16292, 31787, 9268"
values_50,25,"{8349, -26579, -19811, -26238, 19049, -8974, 1209, 10366, 30453, -4706, 5384, -5071, 14294, 3310, 5836, 6983, 31410, 31110, -26451, -28565, 31715, -28522, 7476, 21133, -31177"
values_83,2,"{30474, 6270"
values_67,19,"{24274, -20581, -13493, -8722, 19626, -16003, -15427, 15795, -447, -5612, -32183, -14653, 9167, -32159, 23012, -26203, -9708, -24173, 17200"
values_86,26,"{-4612, 32438, -22035, 24787, 10687, -205, 4255, -23379, -12865, -28443, -18031, 7545, 12260, -19195, 4388, -1204, -20659, 19846, 27765, 31948, -22808, -24243, 17624, -10270, -23292, 22831"
values_23,2,"{12386, -30997"
values_64,27,"{22789, -17577, 12247, -5313, -23473, -10860, 10760, -25863, -27573, -19251, -30584, 25839, -31867, 6406, 44, -10276, 2417, 26502, -29860, 28215, -30636, 23428, 4780, 2260, 4201, 3777, -11096"
values_44,24,"{-22024, 30483, 16849, 3529, -8207, 9198, 11680, 15066, 10865, 30305, 2428, 7197, 14957, -29833, -19199, 23188, 26212, 7222, -22312, -18586, 24341, 9138, -26718, 10919"
values_71,21,"{-21980, -24471, -669, -32679, -30036, 12697, 15589, -29101, -13980, 23145, -32069, 23300, 29844, 761, 18225, 20182, 25156, 778, 22509, -19096, -30770"
values_93,26,"{9804, -15469, -18360, -2642, -16406, 5503, 28434, 1735, -11180, 20355, 18574, -27651, -14340, 23197, -15958, -13630, 13260, 26459, 6822, 22558, -9073, -14698, 13139, 31314, 28433, -17579"
values_88,14,"{1066, 2263, -768, -9497, 3880, 13845, -17934, -27231, -3137, 154, -25875, -17747, -5270, -24287"
values_26,20,"{14117, 15465, 17336, -12591, -18866, 26622, 2025, 1431, -15152, 4097, -737, 7952, -24699, 32433, -22518, -27174, 2663, 2187, -18229, -12870"
values_59,19,"{8281, 18142, -21608, -23384, -26404, 9466, 7123, 1941, 13511, 10119, 23201, -2298, -13369, -4111, 30531, 6810, 30411, -14190, 24131"
values_57,31,"{5180, 28156, -20003, 22186, 3653, -21628, 20781, 8859, -13942, 24490, -14017, -26096, -32739, 16415, -11476, -19070, 29915, -15639, 20557, -1965, -9536, 29827, 16205, 18565, -21742, -28745, 17323, -21846, -22240, 14655, 55"
values_82,7,"{10656, 27950, 6970, -25792, 4355, -27201, -9369"
values_75,27,"{-5414, -27897, 31348, -21118, -21651, -29190, 12599, 24443, -20606, -2031, 21958, 16844, 1143, 11334, -23879, -26178, 32649, 29588, -6434, -28965, 16595, 20495, 7621, -2365, 18126, 2041, -10341"
values_51,3,"{-12991, -19893, 21346"
values_7,2,"{14507, -12284"
values_92,23,"{19297, -28749, -29450, 25019, 29424, -7761, -4417, -11451, -22473, 20560, 29354, -22787, -21818, -13785, 8082, 28600, 3680, 10691, 23064, -18365, -21224, -29782, -7872"
values_56,7,"{2599, -23828, -28412, -13810, -27359, -20607, 29941"
values_47,9,"{-14131, -29398, 7857, -4624, -19806, 9764, -22678, 16074, 22518"
values_95,9,"{-19832, 12201, -18054, 1339, 7817, 10564, 4645, 16609, 8672"
values_98,23,"{-22218, 29216, -1798, -18821, -30038, 25584, 29299, 14209, -20426, 19922, 4488, 2559, -3814, 10179, -16751, 18729, -274, -28036, -19784, 29104, -22039, 3563, 6103"
values_8,32,"{16091, -4747, -21821, -21682, -31617, -30710, 4280, -3546, -30341, -13580, 18476, -9864, 9678, -29059, -5513, -2077, -9084, 5932, -3244, -2086, 8108, -31560, -27449, 16490, -29119, -26973, -24444, 19709, 521, -7096, 10000, 12061"
values_18,8,"{-32434, -20573, 24775, -13461, -9549, -21369, -9128, -31504"
values_28,7,"{1481, -7183, 19058, 15162, 14353, -1023, -4284"
values_81,24,"{10493, 14757, -22985, 28423, -23444, 27807, 12775, 7092, -1691, -12867, 13932, 4299, 4220, -1818, 12068, -6079, 25878, -7497, 27453, -20058, -19640, 1105, -27860, -10898"
values_17,30,"{16368, 28939, -9753, -30131, 7268, -3704, -15988, 29901, -20694, 4990, -28923, -24024, 10102, 7302, 16767, -19184, -8203, 28451, -18494, -20029, -31736, -10855, -21240, 2930, 14678, 31330, 26645, -2935, -220, -17500"
values_38,32,"{21444, 32425, 21285, -17073, 28737, -18123, 10245, -16322, 1763, 14490, 21732, 5413, 18889, -19928, 12357, 9584, 8840, -21528, 11722, 23803, 12482, -30921, 21172, -28610, 28673, -32120, 23751, -11613, 27290, 11256, 24130, 29167"
values_41,20,"{19437, 11741, 28894, 32405, 20592, -23804, -12041, -15478, 21570, 13763, 920, -27990, -28164, 207, -5654, 8832, 11730, 12167, -29254, 8"
values_73,3,"{-12599, -12231, -22813"
values_66,21,"{-584, 26631, -13612, 10373, -2529, 26773, -23172, 2552, 31056, -2610, -26761, 3048, 10739, 30051, -30650, 3294, 28100, -2871, 9814, 15795, 29385"
values_58,24,"{-14913, -5887, -2495, -25192, -1375, -23774, -17062, 16086, -4768, 22330, 19834, 25915, 23853, -17455, -29842, -29051, 4652, 20034, -204, 15267, -13743, 18576, -9901, -20938"
values_70,5,"{-14434, -22615, -4229, -11458, 5760"
