inputName,size,a[size][size]
values_84,12,"[[2935, 8158, -6331, -17643, -21246, 13637, 9428, 4698, 31660, -25940, 24792, -13911],[-18331, 2749, -3802, -30523, 29929, 9470, -3724, -14273, -32577, 11935, 17662, 17513],[-15915, -2622, -8737, -17962, 16223, 23812, -28580, -1446, -5722, -28243, -13255, 24763],[-12857, 6865, -13608, 20986, -22267, 28260, -19771, 28862, -9031, -22375, 10438, -18077],[24028, -21560, 22323, 24136, 21808, 13549, 30504, 27629, 20252, 30342, 19202, -4870],[24757, 18235, 14249, 18828, 32723, 10262, 20391, -1861, 4338, 18247, 21449, 29086],[26753, 111, -3943, 5635, 30993, 11751, -22851, 21290, -3343, 344, 20805, 31399],[23105, -21822, 15571, -6655, -11472, -7327, -1596, -11378, 30260, 12820, 439, 19609],[32412, -6360, 15375, 5703, 3212, 6345, 12230, -27903, -4366, -25298, -31453, 21386],[3367, 11555, -18704, -17338, 29314, -9828, 20932, 11353, -3493, -28047, -229, 7481],[-17420, -22293, -19639, 15661, 8258, -13393, 31429, 30157, 21391, 24984, -14801, 11629],[15976, -11187, -17253, 4541, -32078, -7035, 8260, 8050, 8158, -28586, -10086, 15977]]"
values_30,8,"[[-18790, 32540, 4110, 21685, 27734, 13798, 7358, -20932],[32483, 27393, -26810, 13857, 17302, -27099, -15800, 28059],[-30044, 9421, -4641, 32023, -28193, 21764, -26598, -2946],[15418, -457, -29493, 4256, 8489, -10976, 26735, 27737],[18364, 9600, -10395, -25764, 29875, -22823, -9387, 1975],[-14050, -3010, 17127, 1344, 16849, -29982, 25918, 27710],[13910, -27969, 15753, 30740, 3712, 9993, 16976, -8660],[9382, -13906, -11511, 881, -28455, -29375, 14910, 771]]"
values_96,32,"[[-5109, 19637, -21611, 30765, 24621, -12887, 8899, 24333, 29910, -14727, 2176, -21316, 29294, -27560, 30614, -26062, -27807, 17601, -26041, -11818, -29905, -27572, -11600, 8307, -12887, 3751, -23054, -9367, 10834, 24068, -5073, 1983],[6803, -231, -22360, 18948, 5004, 23966, -11342, -20302, 18330, 32112, 30759, -26705, 19062, 22227, 15488, 23891, -1768, -9766, -10041, 22520, -30657, 4569, 19399, 4798, -31930, -25243, -22298, -15256, 7415, -28253, 16517, 30572],[6696, -30371, 8136, -29397, -4320, 8446, 96, -13371, -10170, -26101, -15551, -26450, -20304, -32727, 27188, 23730, -10993, -9367, 4004, -27967, 5371, -19580, 21635, 17794, 2555, -7114, 31215, -15225, -15904, 7835, 10511, 20236],[-15124, -21348, -29478, -11329, 5745, -7672, 32724, -16641, 23664, -30733, -7929, -18511, -17837, -4549, 26467, 2624, -4522, 28172, -24019, 88, 9042, 30106, 4540, 26563, -10650, 943, 6568, 12316, 31999, 21490, -27260, -19377],[1131, -16409, 25790, 6700, 7650, -6159, 23084, -4255, 18675, -8323, -3841, -12762, -23722, -2050, 25717, -15253, 11226, 676, -10704, -15882, -19445, -25222, -28807, -12897, -17943, -9436, 18432, -24888, -9109, 2408, -89, -12440],[-19030, 31984, -30061, 6090, 29553, 13786, 20117, 17650, 7135, 3536, 17791, 22988, 30141, -27860, 10422, -28023, 19454, -13606, -16811, 7895, -15605, -6849, 18372, -9776, 2811, -13926, 29945, -1878, -15043, -16613, -14979, 10561],[-4492, 17609, -23960, 27185, -31438, 2159, -25374, -14673, -25549, 800, -30286, -23822, -25253, -894, 3385, -24859, -22805, 5459, -30646, 16420, 16593, -15496, -21017, 24421, 26932, 21477, -26034, 15394, 28643, -19038, -9693, -8284],[14816, -24853, 23951, -5836, -20487, -4371, -20848, -28488, 692, 8511, 23933, 28880, -21741, 3427, -1701, -31366, 32718, 15043, -20324, 15894, -25212, 22692, 17391, -32621, -7407, -4791, 9773, 19792, -13467, 564, 25769, -2023],[-19856, -2205, 32463, -12731, 27865, 11745, 24713, -4760, -15918, -29763, -27290, -7644, 7998, -6133, 1925, 6043, 20453, 28230, 9477, -2477, 31595, 2621, 22957, -8824, -10249, 22035, 6038, 10828, -11137, 8271, -6463, 15199],[14373, 6266, -14023, -2015, 18777, -26652, -13684, -12103, -30710, 9992, -15619, 30540, -18723, -14062, -28389, 22148, 27936, 28262, -23713, -6142, -31303, 20945, -1323, 29609, -23836, -27988, -26586, -6999, -16933, 13968, -30351, -10533],[26515, -21271, -28695, -22249, 25721, -10050, 18457, 10584, 23703, 1882, 18315, 12281, -18835, 25019, -16579, -32357, -2316, 13754, 651, -27325, 19825, -6267, -25604, 21009, 24228, -1390, -26552, 8088, 20903, -12400, 4314, -2217],[-21400, 11410, 15166, -11859, -27043, 21144, 3076, 30073, -3147, -11544, -285, -4906, 19216, -25504, 28994, 32341, 7106, -21721, 25842, -1956, -14012, -9118, 12796, -634, 19619, -30070, -32135, -2398, -20551, -2031, 6510, -197],[17739, -20053, 4452, -25188, -9664, -16819, -16709, 24002, -18865, 14133, 4391, -23160, -18625, 27535, 9776, 31647, 22413, 25966, -5603, 12690, 18340, 27373, 27928, 26051, 1202, -30731, -21182, 14221, 1497, 6957, 21396, -22915],[17577, 16958, 4518, 16017, 28145, -20068, 25115, 1609, -27987, -5591, 3981, -21693, 29231, -5568, 13470, 9277, 14220, 6404, 9187, -25180, -6857, 6696, 28699, -633, 24904, -3479, 8663, -10960, -22832, -14700, -21447, 28975],[-15226, -19686, 18623, 17942, 30183, -16508, -26102, 1662, -23852, 9575, 32168, 30272, 14544, 13911, -25334, -7880, -27452, -31321, -24949, -31917, -2867, -10953, -13888, -22025, -14984, -23989, 30272, 30967, -3425, -7166, -9954, 12225],[32388, 13463, 22999, 32731, -27676, -4972, 16610, 10695, 1592, -23273, 32213, 29892, -10428, 28503, -5181, -28140, 11062, -14650, 6685, 8528, -7558, 9388, -31003, 3081, 22696, -29464, 25365, 28156, -2408, 9973, 2587, -2198],[14703, -27226, 25588, 6175, 15112, 15082, -27047, 11911, 19108, -19352, 27938, 3647, -24527, -20601, 12673, 23915, -25898, -10946, 23678, 9062, -1339, 25276, 27929, 6289, 22842, 22871, -5152, -6595, -26283, -26846, -18026, -14476],[10308, -11878, 5085, 6879, 2748, 32420, -15683, -22156, 7462, -22924, -9541, 29991, -8354, -24316, 878, 3132, 13707, 5873, -5621, -20419, 4548, 19308, -21202, -19631, -29443, -16755, -10736, 23008, 32711, -7267, 19987, 3437],[20958, 18741, -23935, 22473, 24678, 29472, -2463, 24182, 29431, -9552, 8759, -27226, 19000, -16322, -13890, -27793, -28658, 15849, -3660, -20606, -29899, -22231, 11007, -27533, 26585, 7574, -18170, 24697, 9230, -977, -31283, -9304],[3599, -8770, -12510, 22481, -4243, 21244, -19462, 20377, -15249, 23431, -4136, -2950, 22768, -30431, 2077, -15790, 5470, -11575, -6205, -27245, 14269, 6615, -25919, 14178, -7699, 16171, 31839, -25153, -1007, 5558, -25513, 17620],[-12675, 14152, -32620, -24783, -8036, -6572, -15855, -20013, -24037, 26796, -6652, 29912, -28150, 24759, 2555, -30752, 23182, -3101, 26711, 20637, 4963, 1760, -21416, -4773, -7094, 2442, 7348, -8834, 27561, -20634, -32258, -5918],[24570, 17279, -16380, -23816, -31012, -15274, -29605, -25586, 2551, -6002, 16693, 12641, -28843, 6376, 29784, 2492, 17681, -19031, 1407, 14669, -19443, 26511, -8267, -22392, -27744, 15793, -31598, 10329, -31048, 9504, 15757, -15027],[4972, -10799, 25435, -7452, -4919, 11692, -2763, 20858, -13237, 18836, -10068, 9988, -21919, -31197, -10233, 10161, -19459, -30531, 16585, 5045, 8548, 277, -25673, -7752, 21811, -28929, 22501, -12223, 3631, -19162, 20226, 17138],[-15807, -17146, -2259, 18855, 19742, 27865, 3090, -2981, 23412, 25596, -10431, -7969, -16301, 2044, 26602, 23232, 32552, -10487, -20163, 25275, -9641, 4611, 16713, 5533, -27239, -28603, -5349, -27158, 16258, 1753, -4684, -1249],[16067, 18209, 6533, -27643, 16527, 24374, 26961, 25117, -25033, -9714, 15803, 20291, -8775, -8944, 4011, 27997, 18521, 6713, 14431, -14996, 2240, -7720, -7094, 305, 3343, 11462, -27757, -7780, 9339, -31696, -6708, -9761],[-24150, -3305, 26385, 5835, 13504, -32473, -9731, -11675, -5216, 27886, 13247, 2947, -5324, 8579, 11620, 1000, -28346, 112, -27040, 15852, -25093, -19822, -20129, 17025, 18426, 30283, -15611, 18800, 30741, -17429, -31294, 4001],[29435, 303, 32667, 6767, 8000, -18859, 11999, -6799, 10564, -5143, 19743, 11760, 28276, -29368, 31624, 24967, -12436, 23302, -15545, 29341, -8235, 24278, 7016, -1547, 19110, 29814, -12265, -4078, -25492, -17766, 15909, 3914],[-7844, -6887, 20800, -11565, -15716, -15867, 26566, -18090, 20629, 14606, -4465, 11548, 29109, -32026, 14781, -5295, 21184, 10401, 8478, -18483, 24286, 1804, 191, -27036, 17342, 18743, 1277, 11820, -28008, -3929, 18661, 5892],[1184, 14491, 31805, 19690, 7512, -8629, 12157, 13977, -12285, 6267, -18554, 27110, 3866, 18417, 4264, 5937, 3504, 32574, -12686, -31759, -21126, -15090, 24885, 21804, 6303, -16706, -31264, 23018, -7611, -11654, 18101, 26903],[-12467, -4489, -19413, 4523, 30337, -31960, 17717, -12412, -22054, -10648, 10332, -32449, -15964, -31505, 31328, 28635, 23421, -29412, -2479, 23823, -21420, 14061, -7017, -31663, -27003, 29250, 19121, 11065, 4653, -11846, -24540, 7481],[-10676, -11913, 20281, 22574, 21699, 8431, 17563, 25758, -43, -22289, 24647, 8163, 7469, -27552, 14391, -18638, -23223, 338, -24470, 4972, 26443, -22393, 12229, -7357, -7246, 7526, -16909, 29989, 8473, 26009, 11957, -31390],[-31667, -17284, 15588, -18426, 23044, -6773, -24442, 27276, -23392, -21410, -13477, 5145, -14888, 9676, -2889, -1358, 7366, 9228, -30590, 5494, -22618, -26424, -3702, 17377, -26882, 19377, -7660, 13290, -6811, -29077, 9450, -7888]]"
values_15,2,"[[-583, -30540],[-8945, 22187]]"
values_16,15,"[[8219, -31266, -28275, -20184, 5751, 19612, -28270, 5879, -20316, 558, 14656, -9043, -23316, -31925, -18907],[22517, -27654, 22021, -2027, 14456, -1567, 32497, 22217, -26591, 8711, -2117, 23751, -19895, -23845, 28462],[25262, 11984, -12297, 24005, 15318, 31455, -32366, 1585, 30722, -14392, -21367, 11896, -29974, -12169, -23866],[-24311, -12427, 19969, 11893, -3141, -20855, 20675, 19650, 10545, -15481, 3156, -6968, -25294, -13632, -27032],[24288, 30755, -20029, -10974, 29459, -16048, -12863, -6890, 22708, 1310, -19173, 6379, -27206, -5360, -11550],[-26006, -11529, 10495, -917, 6696, -9457, 10362, 29040, -18740, -19744, -31382, -12254, -28123, 13552, 14964],[26834, -12089, 22615, -24137, 19807, -7534, 32649, 27165, 8152, 26392, -32391, -31101, 19019, -22019, 15577],[-29318, -4646, 19367, 25455, 1299, 23600, -6271, -46, -1743, -31761, 19888, 17935, -4779, 30053, 6248],[12566, 25855, -15985, -4639, 25775, -9956, -24796, 2745, -28337, -581, -15796, -13532, 20088, 8437, -29648],[-590, -4426, -24623, 25783, -2017, -26937, -18807, -12191, -32068, 2670, 26059, 24602, 24737, -7285, 7217],[-22370, 27564, -7388, 12181, 17207, 9411, -16525, -2078, -31975, -6494, -31927, -8080, 6573, 31641, -20043],[-7321, 10448, -27346, -3578, -1479, 30893, 17157, -13759, -11415, 27530, -5512, -23455, -13294, 9446, -22926],[-2552, -26596, -16199, 17795, -4089, -12883, -26347, -10516, 17657, -30250, -9334, -28918, -14941, 11319, -28330],[-8904, 32047, 6289, 21462, -15391, -10814, 11770, 7092, 26296, -9413, -31604, 999, 30673, 4507, -6168],[9001, 8039, -31204, -10978, 11520, -6537, -23230, -16397, 10779, 13988, 22515, 1667, -24757, 11037, 11519]]"
values_94,8,"[[-2342, -32085, 20954, -8031, 25131, 29213, -16834, 13664],[32569, 9310, -32234, 19982, 25452, 5381, 11648, 27705],[14643, -6441, -18226, -13848, -18919, 15905, 22007, -29863],[-130, 2539, -22175, 30352, 13580, 25897, 4435, -17269],[12131, 29518, -24734, -4327, 14164, 11389, 19266, -13681],[24327, 4545, -28520, 17027, 12069, -31069, 3077, 4025],[-11313, -4970, -17152, -8622, 4539, -16766, 109, -5084],[21556, 13827, 8359, -6482, 29224, 17655, 27060, 18927]]"
values_90,6,"[[-11086, -12821, -22820, -20337, -13183, -6322],[-30366, -25116, -20708, 22264, 19555, 31195],[-19758, 6785, -18131, -764, 1372, -4726],[-12936, 22598, 13488, -7252, 31437, -3116],[-13607, 21529, -9406, 15601, 25243, 28454],[5095, -12681, -10704, -992, -24849, -3632]]"
values_52,13,"[[-3718, 757, -29364, -21894, 17476, -13980, 26774, 4645, -30375, -30228, 6181, -28298, 14891],[27583, -9342, 25467, -31268, 11954, 27688, 15235, -1665, -3567, 29626, 18059, -22669, -30896],[-10807, -2344, -9135, -31552, -24954, -30803, -5345, 24892, 4992, 15972, 6383, 2816, -17972],[-30976, -23803, 13603, -31825, -783, 30725, 28430, 23079, -5919, -12815, 24699, -15411, -17123],[-19186, -16537, -16263, 10670, -7772, 29021, 26802, -3260, 17512, 19195, -13609, -21741, -2520],[1218, -8693, -5244, -23828, -17190, -3683, -27291, -21157, 20092, 18444, -3052, -22209, -24587],[4623, -3271, 30849, -9294, 460, 5268, -11774, -23163, 29082, -21236, -6205, -8873, 10422],[2312, 22085, -18269, -23952, -12826, 31441, -12596, -29134, -13055, 25791, -28742, -7461, 23928],[31825, 13652, -30953, -9543, -31066, 24628, 8515, -4805, -7588, 29898, 26077, -10079, -20365],[780, 30614, -6951, 18824, -4709, -10305, 132, -30376, 17800, 16705, -12476, -11878, -3463],[-28983, -29521, -4423, 25522, 31420, -13905, 11015, -7419, 29680, -1672, 22157, 32747, -3317],[3412, 28677, -23760, -7142, -24387, -2273, 12078, 6344, 27343, 24102, -29494, 8684, -16892],[18491, -7967, 22267, 22651, -12612, -13317, 30217, -25392, 22965, 22021, 13453, 23288, 18774]]"
values_78,24,"[[1887, -30434, -11612, 31372, -28508, -10457, 8229, 6285, 26522, -23332, 31717, -32527, 5313, -17784, 3112, -8607, 20074, 12378, 1518, 156, -32267, -6689, 18538, 10573],[-1658, -31506, -31278, 29929, -6998, 30177, 19573, -17188, -14668, 30911, 7435, -21819, 24633, 172, 2914, -29197, 23535, 13629, 23916, -25626, -993, -4534, 26680, 922],[-8712, -27392, 32502, 3726, 19, -17128, 18485, 6855, -15483, 17857, 20631, 4316, -11128, -15167, -30214, -31394, 21827, 3795, 19044, -29984, 6926, -31801, -31705, -29181],[-21848, -10017, 8125, 14475, -15523, -30366, 17339, 21176, -28579, -27833, -3915, 26844, 267, 25649, 24190, 29485, 21031, -17734, -7124, 14057, -6658, 31295, 22124, 22992],[-150, 13008, -31478, -472, 11282, 31229, -7873, -9270, 28842, -23366, 11067, 26586, 11019, -4317, 4838, -31891, -20914, -18836, 27253, 30229, 23383, -31133, -28744, 20203],[19580, -3554, 25854, -15179, 12368, 30272, -23358, 10989, 15316, -24459, -19247, -16303, -9273, -27405, 31394, -26297, -21707, -19751, 23513, 18535, -10465, 11516, 29471, -30258],[-3584, 24177, 3379, -26290, -6036, 22155, 22448, -30139, -15674, 4824, -4769, 11769, -6468, 953, 10447, -32330, -32380, -21070, 24195, 31015, -16312, -3393, -24588, 4355],[22467, -18398, -9914, -7983, -31282, -7096, 13600, -6890, -2439, -12866, -14857, -7263, 28074, -19114, -29176, 29708, 25461, 18103, -32023, -9661, -2149, -15887, -5599, 18666],[-15750, 27407, 24739, -18484, 5275, 4767, -13317, 131, -24033, 21816, 19430, 25269, -22180, 277, -22922, -5476, -6867, 12872, 22330, 8994, 12848, -8106, 25453, -31363],[-4907, -8864, 16384, -12286, -23902, 23225, 15103, -7073, -7194, -13291, -13979, -25652, -6564, -14287, -23106, -15354, -11358, 9703, 7132, -9048, -8483, -21284, 18713, 13981],[21984, 11559, 6324, -7685, 7722, -31447, 10695, -26092, 5354, -25076, -11673, -18206, 2899, 4267, -17949, -8386, 31083, 22364, -26189, -3462, -13078, 13144, -21632, -14888],[-17030, 8992, -8500, -5380, 18287, 16251, -30730, -23444, 16089, -6374, 23249, -22327, -16369, -25426, -23162, 23844, 9087, -16155, 28883, 28090, 17515, 32159, 16932, 28186],[-1329, 15520, -7053, -10278, -29394, 12878, 25085, -23677, -15838, 27282, -28976, -1639, 9474, 32754, 23883, -30767, 19234, 25427, -25353, 24932, 19929, -31605, 16997, -1605],[12167, 25977, -23430, 15341, 17292, -21522, 12467, -21971, 14200, -16249, 26715, -11476, -11041, 11994, -7073, -24759, 2178, 4580, -23823, -26569, 12284, 27684, 10830, 3647],[23422, -12365, 20435, 3871, 4236, 2155, 23166, -27927, -10568, -7073, -12156, -3324, -27632, 13760, -2139, -3637, 13326, -11217, -25681, 11936, -29713, -29044, 9671, -30843],[-4568, -21149, 6072, 2144, -5854, 20144, 22705, 25213, 19572, -25202, 30398, -20486, -25782, 19653, 27630, 31135, -13709, 27468, 4291, -1196, -7420, 24, -2487, -27167],[17525, -25515, 26561, -3573, 23903, 32190, 11786, -21225, 6729, -2428, -31885, -28735, 29069, 32278, 14137, -5986, 19916, -18045, 4958, 13742, -3336, -6315, -13898, 11544],[-16669, -28778, -28441, -18818, -19323, 120, -25309, 26471, 2939, 12428, -19217, -12026, -19270, -15498, -30415, 10077, 25426, 27318, 5674, -2855, -19368, -28989, 6252, 27223],[-18972, 5839, 2561, -20682, 22591, 14617, 21710, 3953, 11671, 19728, -18193, 30455, 26099, 4507, -23519, 10154, -16467, 5246, 20225, 3663, 14975, -27111, -18157, -5713],[-31840, -1453, -28093, 14931, -22067, -4617, -425, -24772, 18830, -21741, 26694, -19805, -18112, -3208, -13767, -9367, -19274, 8469, 13333, -16235, 18075, 20190, 1615, 31435],[19599, 32499, 29344, 7881, 29464, 24089, 7085, 21424, -25305, -23718, -28528, 19533, -2470, -93, 623, -4119, 28136, -10650, -27427, 21760, -17192, -19787, 22885, -7056],[30253, -24233, 16050, 31234, 13964, -20836, 27686, 8982, -19971, 17701, 6202, 19641, -29384, -26011, -5157, -21025, 9742, -3948, -30584, -1361, 26612, 12804, -29372, -21912],[29283, 28893, -296, 8353, 5842, -9203, -11646, 15216, 32155, 14336, -20001, -24820, 10549, -24685, -32281, -26363, -20511, -11210, -6774, 2425, -24482, 10570, 4020, -9615],[-29912, 28874, 5038, 13956, -12894, -22770, -9356, -3833, 5555, 14488, -9759, -13444, -30946, 22974, 2255, -29309, -22543, 2373, -14803, 8301, -25132, 24376, 16056, -23486]]"
values_20,6,"[[-32178, -12724, 20073, -18866, 31204, 24231],[-14407, -16384, -4402, 31153, 6848, 32558],[10238, 1005, 9215, -5851, 21286, -21155],[3816, -240, -25092, 26601, -9064, -25945],[-23573, -14976, -30146, -20316, -11799, -27069],[-4777, 25772, 16252, 13427, 18470, -761]]"
