inputName,n,key,arr[n]
values_84,14,67,"{35, -32, 23, -86, -76, 64, -112, 106, 35, 88, 29, -126, -48, 16"
values_30,7,72,"{49, 108, -3, 11, 106, -100, 121"
values_96,3,40,"{91, 115, -110"
values_15,6,-81,"{124, 91, -102, -84, 13, -127"
values_16,6,40,"{-27, -10, 28, 10, 38, 47"
values_94,3,67,"{-106, 121, 30"
values_90,3,72,"{-4, -11, -91"
values_52,29,-12,"{105, -32, 108, 7, 27, -109, 37, 46, -65, -89, 8, -82, 16, -41, -126, -108, 116, -75, 107, -72, 45, -21, -113, -107, 97, -86, 12, -44, -34"
values_78,14,-116,"{-28, -108, 52, 1, 86, 54, -58, -110, 45, -2, -99, -32, 96, -88"
values_20,9,72,"{59, -81, -13, -27, 7, -126, 36, 124, -56"
values_53,29,-117,"{111, 107, 118, -16, 112, 38, 77, 127, -33, 77, -58, 74, -30, 23, 56, -5, -4, 81, -61, 84, -62, -88, -85, -53, 68, -95, 30, 100, 7"
values_43,19,-117,"{22, 71, -29, -67, -116, 18, 9, -116, 69, -111, 35, -5, 59, -111, -51, 73, 48, 40, -105"
values_42,19,-12,"{-59, -120, -128, 114, -88, -54, 27, 42, -123, 25, 65, -103, -102, -127, -75, -18, 60, -94, 37"
values_0,17,72,"{4, -94, 119, 125, -51, -86, -45, 39, 64, 33, -36, 84, 113, 96, 61, -26, 125"
values_61,28,44,"{30, -101, -62, -27, -89, -57, 7, -36, 22, 11, -62, -72, -96, 89, -106, -125, 54, -122, 44, -40, -100, -88, -10, -127, 65, 46, 1, 56"
values_97,3,-24,"{51, 100, 36"
values_14,6,67,"{92, 43, -56, 77, -106, 29"
values_87,14,-24,"{-50, 124, -28, 44, 63, 14, -74, 11, -87, -100, 67, -42, -59, -33"
values_50,29,72,"{-23, -16, 75, 108, -70, -103, -34, -22, 31, 106, 127, -100, 65, -59, 50, -49, -125, -126, -45, -7, 15, -97, -35, 81, 82, 71, 43, -80, -124"
values_83,14,-117,"{-54, -72, -124, -47, -22, -81, 19, 95, -115, 39, -124, -12, 72, 121"
values_67,28,-24,"{25, -61, 52, 88, 116, 80, 79, 120, 113, 85, -35, 20, -69, -2, -12, 107, 67, -20, 84, 34, -73, -102, 22, -58, -7, -40, -109, 71"
values_86,14,40,"{34, 27, -30, -94, -22, 27, 60, 121, -46, 13, -96, -75, 127, -114"
values_23,9,-117,"{-87, -11, -1, -40, -78, 60, 25, -40, -26"
values_64,28,67,"{-75, -29, 90, 102, -103, 83, 75, -99, 9, -40, 117, -43, -114, -117, 14, -33, 53, -109, -8, -73, -121, -1, -83, -127, 79, 34, 78, -25"
values_44,19,67,"{45, -82, 103, -72, 14, -86, -91, -1, -41, 43, -126, 85, -113, -64, 90, -24, 123, 64, 86"
values_71,14,44,"{75, 126, -22, 11, 50, 86, 98, -8, 25, 39, 111, -39, -121, -108"
values_93,3,-117,"{31, -26, -4"
values_88,14,-116,"{41, -117, -8, 98, -44, -78, -109, 105, -3, 37, -16, 48, 77, 43"
values_26,9,40,"{-112, 110, 0, -53, 67, 53, -46, -81, -63"
values_59,29,-108,"{-114, -10, -41, 28, 66, -23, 123, 120, -124, 51, -91, 80, -102, 110, 22, 8, 107, -126, -15, -60, -10, 42, 28, -63, -2, 4, -101, 21, 75"
values_57,29,-24,"{73, 33, -37, 100, -31, 91, 110, -80, 28, 109, -33, -16, -36, -32, 8, -125, 40, 2, -91, 2, -37, 26, -62, 37, -95, -123, 113, 43, 7"
values_82,14,-12,"{-55, -118, -122, -70, 117, -38, -61, -100, 63, 104, 29, -83, 9, -75"
values_75,14,-81,"{89, -34, -111, -1, -45, -110, -20, 91, 22, -23, 49, -128, 73, 22"
values_51,29,44,"{38, 22, 18, 58, 51, 102, -96, -103, -40, 38, -80, 83, 106, -45, -87, -3, -110, -113, 63, 20, 74, 81, 70, -45, 22, -105, -70, -2, 106"
values_7,17,-24,"{-16, 25, -47, 79, 34, -46, 125, 11, 127, -88, -91, -37, 25, -20, -88, 28, -17"
values_92,3,-12,"{72, 23, -120"
