inputName,size,goal,a[size][size]
values_84,14,27,"[[20880, 31781, -19009, 13583, -20457, -12875, -162, -2767, 12969, -11495, -24834, 22907, -29013, -14248],[-31366, -29372, 7069, -18637, 13481, -21964, 26502, 23031, 28607, -29167, 7344, 31801, 30922, 24953],[-19973, -25221, -16139, 14923, -15320, 30131, 10289, -4819, 9608, 15235, -7878, 28514, -12900, -25467],[-27175, -1827, -1496, -21675, 22378, 23429, 20082, 992, -31718, 28385, 21597, -4386, 19003, 18004],[5576, 30207, 15934, -29356, -5534, -7855, -9541, 11371, 30491, 4732, -14874, 1940, 5775, 12016],[-7299, 27844, 26066, -30529, 13303, -23669, -5500, -22393, 11606, 3997, -31749, -17176, 5198, -8810],[29296, -5833, 8096, 17979, -20064, -31128, -7680, 19552, -29522, -4396, 12570, 32298, -15971, 22377],[-17155, -26514, -3531, -29862, -25194, -28175, -5465, -21526, -13169, -31554, 16732, 6335, 8449, 32263],[26383, -7622, -22357, -23998, -2822, 20224, -28736, -19665, 6966, 13451, -14856, 21523, -1248, 27192],[-5477, 5857, -23904, 27856, 10888, -16413, 32661, 16010, 24850, -11877, 12716, 4323, 65, 13212],[14669, 2949, 29833, 2973, -13551, 3358, -28927, -1264, 24049, 19867, -15151, -12683, 7864, -325],[-13068, 12207, -2341, 11090, -19629, 24287, -25370, 4856, -17897, 26700, -3652, 10276, 2261, -23769],[31049, 31208, 1116, -15212, 21232, 3920, -503, 24282, 4109, 28500, 22012, -24956, -11510, -12852],[-30824, 17996, 4143, 19134, 8677, 29208, -14470, 12039, -16869, -18682, -27459, -24583, 11307, 23290]]"
values_30,28,6,"[[-12058, -27782, 28780, 27517, 8377, -14575, -307, -4794, -13770, -12936, 11211, 23623, -143, 31948, -17224, -27557, -26818, -2413, 23856, -32055, 26530, -8244, -25460, 7892, -12013, 5365, -11935, -27165],[2177, -27587, 21311, -18485, 21599, 15046, -27739, -1763, -11670, 13297, -20276, 28569, -9158, -1382, 11966, 5154, -2209, 3787, -2576, 28956, -21301, 21708, 10448, 29594, 22982, 32161, -10564, -17897],[19074, 11666, 23856, 22118, 1642, -2861, 7543, 601, -13165, 22487, 19150, 23604, 7414, 8583, 29535, 6205, 5296, -3878, -7060, 6274, -8243, -27609, -21603, -18955, -23565, 26721, -29176, -20564],[-31044, 19000, -10452, -24599, -826, -12713, 26532, 24333, 15348, -19475, -29479, -28263, 7599, -632, 28874, 9182, 31696, 12703, -18573, 15145, 30258, -28483, 4561, 5000, 626, 20748, -13086, -22498],[-12166, 14014, 32323, -3962, -29081, 3556, -7390, 19285, -13462, 22390, -21207, -14972, 29432, 17510, -6002, 4364, 19101, 27921, -18002, 13030, 27716, -7468, -28635, -995, -32664, -17443, 12475, 28945],[-837, -19504, -7380, -17516, -18365, 29148, -11363, 30349, 16114, 13360, -17265, 10440, 21921, 7943, 23457, 21038, 172, 3885, -17762, -3788, -16695, 1186, -9917, -20740, 25019, -4019, 28326, -11634],[25938, -798, -8972, -5260, 30906, 25296, -26825, -30352, 22528, 5679, -27107, -12694, -11249, 12992, -4001, 22738, 25766, -30332, 795, 11911, 1023, -19148, -9403, -28823, -9541, -18766, -31650, 32538],[11598, -6196, 29393, -15960, -26049, -18952, 16528, 25912, 9510, -5725, -20418, -30212, -2848, -314, 17550, 28924, -7037, 18086, 25218, -2627, -2004, 3720, -19609, 12644, -14809, 15412, -23310, 13409],[-31900, 24667, -26282, -20004, 30964, 27520, -6083, 8645, 3998, 12446, 18466, 821, -5713, -774, -14338, 30371, 13727, 3920, 16080, 13991, -17509, 32177, 14405, -30385, -31163, 11752, -11544, 10316],[29356, -32293, 9374, -12770, 3649, 8752, -23270, 32722, 14976, -9355, 2120, 26526, 20757, -25293, -9856, 23430, -3065, -3730, 18082, 22833, -17066, -9708, 1238, -28239, -14208, -30673, 20690, 30830],[13682, -19650, -26052, -16245, 8136, -27280, 9301, -2247, -16809, 29124, 14039, 14148, -5416, -995, 19260, 18470, -31053, 27007, -1300, -16596, -27479, -10093, -3251, -12002, -11463, 7264, -32519, 29496],[9621, -21425, 12935, 21430, 4304, 14717, -4665, 27823, -13868, 4643, -23125, -30436, 20108, 22912, 7583, 20612, 16656, -31180, -29727, -5852, 29528, 25200, 20786, -8691, -29146, 18737, 17883, 8819],[31405, -18328, 14283, 25184, -30499, -23443, 19833, -21548, 27874, 19254, -30279, 3265, -13079, -13462, 7403, -12213, -16553, 10860, 17142, 5436, 26961, 28990, 24323, 812, 18951, -9851, -3365, 20436],[-24991, 31611, -22795, 26348, 25245, 1766, -4424, 29378, -6059, 24561, 22517, 31179, 29134, 24498, 19025, -25552, 17556, 2644, 19797, 14653, -21181, 8620, -3326, 22593, -10806, -32226, 28446, 9581],[-21663, 18308, -13630, -20836, -2717, 7446, 13787, 31775, -23304, 32573, 18588, 5673, -6731, -5697, 31386, 11290, -2401, -13928, -9137, 15945, -26506, 22014, 19263, -10896, 28866, 16163, -20006, -18383],[-16099, 2738, 11257, -20623, 28922, -15456, 9355, 11295, -17378, 14114, 10856, -11626, 22308, 10817, -24446, -23239, 17825, 22275, -28050, -24326, -7021, 21978, 12409, 15647, 14594, -31386, 15068, -1204],[7606, -14018, 19516, 15363, 20171, -20981, -10674, -27249, 19827, -28109, 2479, -14268, -27579, -27548, -9816, 15143, -31360, -6835, 22757, -22762, 19336, 7133, -22658, -16915, -32267, 29701, 17859, 26676],[-19902, -17039, 19732, -19338, -5733, 11787, 27106, 12537, 17101, 5012, -12798, -8857, 6289, -24991, 7122, 5541, -3752, 28772, 26082, -26118, 19721, -5326, 26529, -14211, -32403, 24029, 18067, 29981],[-7714, 8221, 13468, -11235, 10004, -19711, 3020, 26514, -5204, -27281, -25582, 345, -2021, -11948, 18206, 29328, 10909, -8085, 766, 7171, -6721, 22795, 17759, 24035, 23395, -4900, 1865, 27781],[-27632, 29140, 21302, -6515, 12300, 14899, 17033, 24969, 27605, -891, 28743, 1187, -21934, -11860, -5285, 24292, -23469, 5772, 19604, -28589, -2181, -26675, -21046, 2050, 14078, 9050, -3491, -17524],[985, 32671, 14212, -4123, -2005, -26397, -2906, 14800, 11123, 5189, -12345, 17366, 18323, 6345, 23491, 8765, 430, 14338, 28463, 26636, 29661, -2430, 27021, 21830, 32388, -30588, -12273, 10543],[10163, -9367, -13856, -4789, 24586, -15379, 20465, -32014, -9174, -6570, -15705, -14765, -9309, 6187, -1202, 14934, 27777, -26020, 17807, -21911, 4952, 30081, 13534, -9550, 2961, -5182, 2024, 20669],[991, -22321, 6867, 9771, -29510, 8893, -18360, -25949, -32333, -28120, 10405, -24492, 13043, -20293, -13716, 25107, -20795, -30412, 13704, 10158, -14233, 17276, 19758, 8318, 23731, 22804, -30923, 23196],[2878, -8828, -10904, 4602, -1004, -4051, 20653, 28188, 16861, 28721, 8647, 939, -22447, -18481, 9698, 28890, 14489, 333, -5064, -12359, -13718, 26608, -16885, -18295, 12177, 14428, -13442, -9121],[-17679, -12591, -3026, -3348, -14312, 768, -11363, 3765, 6589, -7714, -24047, 24850, 31719, 15733, 8682, 27377, 28449, 148, -19546, -23541, -7752, -5831, -13637, 10211, -9754, 30512, -17042, -8453],[4115, 20377, -26896, -21851, 734, 5475, -1459, 2316, 31709, 23815, 6970, 649, -2820, -2968, 2470, 11961, -29734, -2475, -5199, 1389, -24580, 11513, -26675, -25, 20982, 21159, -29114, -16685],[3178, 29179, 7255, -26663, 25450, -30962, 30796, -16963, 3420, -868, 9345, 31473, -28215, -8082, -29178, -17694, -7912, 5998, -4632, -5421, -22913, -20449, -31151, 8154, 16042, 20060, -1452, -2166],[-3448, -31660, -18996, 7951, 20161, -309, -26511, 14435, -21510, 10798, 17871, 7418, -3110, 23740, 13089, 25040, -8141, 8323, 24928, 4535, 6180, -17608, 21414, 25655, -24329, -3853, 19607, -4170]]"
values_96,10,4,"[[-12619, -2274, -4403, -26135, 6435, -11928, -23757, -3689, 30957, 25737],[28046, -17436, 23040, 30681, -9647, 2621, -26183, 6268, 16011, 19806],[-12529, -31445, -2139, -28347, -8047, -29082, 20599, 28537, -22179, 11205],[12707, -5485, 2747, -24330, 9180, -10194, -24013, 16447, -26378, -24427],[-26, 8494, 12932, 8676, 16026, -16143, -28254, 12137, -21780, -3770],[1023, -22494, -14954, -32060, -3411, 11673, -24719, -24168, 23504, 5403],[-32117, -19643, -11629, -4478, -19205, 29858, -20241, -19237, 27248, -21830],[26719, 20752, -13974, -15966, 23664, -18513, 4113, 16618, -6755, -18878],[9790, 22919, 28942, -5952, -28126, -7886, -7377, -24045, 3609, -28512],[19815, -6800, -31007, 18843, -32027, -23017, 25913, -11781, -20318, -24216]]"
values_15,12,17,"[[-19601, 14183, -3079, -812, 17288, 19636, -6579, 25081, 14255, 29650, -17966, 20586],[-27807, 28671, 25128, 21, 20135, -24938, -1408, -10200, -26501, -16456, 2366, 6871],[26427, 16031, -16684, -21187, 23847, -32028, -6110, -9392, 29910, -14780, -25536, 28208],[-24442, 27637, 28647, 29107, -11767, -15564, -23844, -25655, 559, -21935, -16269, 3663],[-3850, 27097, -16219, 1487, 10475, -16538, -32068, 3024, 31190, 20967, 5430, 2933],[-31936, 13178, 4354, 2510, 3217, -30119, 10724, -16795, -7327, 30564, -12430, 26407],[16854, -26506, 10223, 20797, 16610, 24530, -27464, -3833, -10935, -16462, -20867, -4007],[30739, 5792, 26381, 27577, 5712, -5990, -25168, -21211, -25750, -21452, -18725, -17068],[9602, 32605, 3717, -3789, -27156, -16176, 24818, 30004, -15430, 18764, -13059, 21219],[-31277, -3366, -16761, 32471, 13149, 8180, 8724, -3722, -21171, 22798, 13060, -16853],[-12726, 1310, 11859, -28502, 16871, 23685, 10913, 4092, -25447, 258, -255, 19851],[-26688, 26415, -14580, 14347, -11354, 27545, 23473, 1155, 23846, 11804, -11948, 9736]]"
values_16,12,4,"[[8161, 24585, 5555, -13530, 22709, 17496, -32386, 18209, 31467, 28191, 26177, 923],[-4562, 28182, 24002, 11322, 29710, 17136, 11729, 10807, -20289, -21519, -14611, -32378],[-28467, -32422, 10342, -19939, 29104, -28008, 21570, -28438, 27815, -30194, -16034, -6198],[-32254, -22093, 15506, 27812, 27805, -30267, -23981, 32579, 23366, 24047, 1178, 1041],[5883, 6075, -4209, 1790, 12188, -7119, 4436, -6701, -1027, -31333, -5426, -28913],[4634, 5413, 24941, 32184, -9236, -28160, -2637, -23794, 22968, 28158, -15165, 5210],[-18316, -19173, -14470, -3176, 26606, -13954, -1335, -19747, -28475, -358, -7357, -10796],[12770, 26703, 14820, 24853, 11509, -29007, 19864, -24000, -1137, -12826, -1264, -3627],[14486, -25016, 26263, -6229, 28075, 8612, -19032, 22304, -23072, -1951, -24804, 32599],[-21349, -26338, 10491, -21759, 3720, -8461, 26835, -25873, -18217, 14584, 3319, 1985],[6110, -18575, 19157, -6163, 1078, 26481, -26627, -8001, -7797, -32755, -5626, -8125],[-11581, 32239, -83, 18320, 2544, -9446, 10605, -10532, -5981, 24042, 14322, 5957]]"
values_94,10,27,"[[-12879, 19102, 29408, -15759, -21440, 15602, -8724, 12017, -29969, -21793],[-28896, -26204, 26622, 3278, 29371, 20791, 22571, 4326, 5251, -16844],[31970, -4809, -16499, -22538, -670, 2408, -12182, 28893, -11575, 20271],[-22340, -11045, -31260, 8643, 26084, -28905, 7595, 20151, -22014, 16519],[-32637, -17740, -1855, 15355, -6656, 27821, 7807, 28721, -505, 30219],[9635, -29031, 16170, -14343, -31648, 8972, 22698, -20112, 25710, 16771],[-9704, -30087, 32048, 10100, -22590, -32742, 27413, 28307, 6290, -6354],[-24882, -31361, 31148, -263, -21479, -9154, 11995, 18622, -646, -7674],[16719, -6841, -20302, -32526, 14559, 9221, 25464, 7344, -20839, -16468],[7766, -20896, -17344, -3318, 5260, -15446, -16081, 19648, -20560, 16089]]"
values_90,10,6,"[[-11823, -9661, -28165, -27096, 28901, 13142, 9934, -25518, 11547, -13165],[-4086, -4094, 30285, 17302, -31670, 2060, -31731, -11810, 5117, -78],[-24649, 17634, 30578, -10357, -14114, 28785, 1345, -20052, -131, 15720],[12045, -4681, 29254, -27959, -26246, -9021, 14477, -29345, 99, -6250],[19649, 8268, 22174, 2910, -19712, -25064, -31623, -10697, 15571, 11430],[6718, 17126, -21800, 32683, 25611, 27425, -15971, -21916, 12672, -12214],[20549, -22217, -20501, 5639, -5676, -32631, 29102, -11195, 25298, -25839],[9041, -7816, -2350, -12324, -32679, 5473, 3231, 9786, -16172, -8142],[-12947, -29933, 4097, -29414, -8399, 23610, 9246, -49, 32557, -27616],[-9604, -1161, -8275, -26036, -12084, -1340, 9395, -20152, -11405, 13551]]"
values_52,21,12,"[[11741, -27027, -17877, 12936, 21537, 17441, -20476, -11003, -3575, 23815, 4929, -21277, 15658, -9479, -22632, -3736, -17107, -17777, 6623, -2054, -27839],[7220, 12137, 24449, 754, 16812, 9468, -22322, 13215, 14611, -25207, -5028, 27236, -26876, 2853, -17507, -23591, -11568, 1658, -4314, 32697, -23945],[-3750, -11663, 13551, 2160, 23993, 28575, 22638, -24406, 10386, -29132, -26806, 20127, -16422, -18980, -7864, -1583, -23807, -15680, -28210, 5707, 7747],[11974, -20223, -16014, 5109, 4178, -18351, -23745, -24699, 9504, 14393, -18834, -4435, 18111, -20834, 14980, -320, -18862, -18024, 22163, -31196, 27863],[-24297, -2549, 2853, -20629, -21313, -28106, -659, 11912, 12354, 10901, -18939, 960, 30990, 8461, 29436, -16045, -26725, -11315, -19361, -10123, -32144],[22592, -15889, 18700, 13444, -17111, -32762, 27526, 31540, -3655, -29194, -22646, -856, -5842, 19719, 1763, -19178, -23658, 5785, -10851, 19521, -7737],[-31552, 21202, -12988, 14154, -31427, 1957, -8149, -23393, 2312, -18034, 7783, -18929, -9133, 19568, -17578, -12960, 30616, 23758, 29169, 13733, 11285],[-13120, -2524, 31183, 15894, -198, 14328, -22438, 18969, -28565, 17974, -5523, 6579, 16804, -14292, -11948, -10023, -9563, -5027, -24534, 882, 14356],[5034, -32463, -5781, -13187, 29917, 14713, -23379, 4292, -3017, 5214, 20286, -23566, 11500, -11955, -20090, 27562, -17862, -25511, -2231, 11439, -21269],[18965, -5831, -16168, -12344, -31131, 845, -31887, -22210, 23985, -18887, -2283, -7885, -7704, 28347, 2430, 18160, 24369, -395, -11085, -6990, 15938],[-29468, -5758, -12163, -29054, -29003, 15928, 8587, -22959, -964, -27879, -11252, 19931, 14913, -23396, 19008, 16858, -23748, 29650, 19738, 28949, 19565],[-29464, -3769, 28913, -23205, 1947, 2228, -1597, -27823, 343, 29817, -29241, -22707, 12138, -19346, -23462, 5241, 24956, -4830, -3841, -10607, -8880],[6211, 30474, 24646, 16885, -14993, -9495, 31096, -1796, -15434, -23955, -23961, -20235, -964, 29692, 24129, 30766, -25308, -29615, 4072, 29239, -23412],[-14624, 26062, -31589, 14528, 21944, -540, -27899, 19988, -9484, -31251, -5612, -2204, -11556, -27700, 16346, 6457, 32464, -25685, 26871, 12538, -19258],[-19696, -2969, 14957, 17678, -6557, -1990, 19975, 14119, 22078, -23207, 6640, 31434, 6916, -15009, -2039, -7194, 27764, -15574, 14293, 31752, 6422],[13811, 32331, -9202, -18536, -22379, -16612, 21839, 9284, -11341, 27956, 13483, 4401, -15091, 3828, 4418, -7075, 25640, 12543, 16124, -7571, 287],[-23902, 4307, 17765, -12259, 16082, -13017, -31160, -12614, -16401, 12135, 28340, 24752, 27728, -15008, -18803, 20104, 812, -12316, -9541, -11188, 28586],[-30308, 6197, -23498, 24271, -5941, -11506, -854, -11901, 30324, -25706, -15898, 31503, -23892, 24333, 29062, -7957, -2243, -23688, 3721, 26655, 27516],[29004, -24529, -14088, 17415, 813, 15415, 25627, 31528, 751, -8857, 25845, 27968, 13253, 486, 11399, 31509, -18329, 28052, 30368, -31763, 16962],[25311, 3135, -13915, 3459, 28080, 24091, 26279, 10430, -24365, -12025, 14885, -19931, -21, 10531, -6383, 225, -24313, 15172, -23398, 7174, -9340],[-18721, 27677, 28392, -29257, -29244, -11604, -13383, 31250, 7998, 23792, 30200, 15370, -31440, -6408, -30654, -26564, 10914, 24879, 14879, 12250, 30517]]"
values_78,10,15,"[[-13727, 30003, 11771, -580, 23198, 12857, 24736, 32074, -3218, 24418],[-29276, -13113, -12375, 10494, -3224, 6035, -9780, 31990, -8548, -293],[17353, 16192, 29638, -4132, -1853, 26960, -3335, -5367, 1921, -7603],[1455, -24323, 2227, 31549, 30174, 12058, 4615, -31432, 4386, 19701],[10654, -20122, 24723, -7442, -7487, 2326, 25424, 21386, 24044, 6520],[11429, 15046, 11783, 32260, 17288, 25136, 896, 14023, -5668, -2589],[-2129, 19077, -5683, 25822, 17806, 21482, 15417, 31434, -5368, 7090],[24618, -22635, -27589, 4974, 24499, 14532, 21308, -15779, -32352, 4351],[25797, 32690, 32544, -3695, 32140, 10136, 28366, -15565, -1597, -31414],[-1933, 3749, -18539, 43, 10821, 18126, 4019, -28933, -21253, 18360]]"
values_20,4,6,"[[-13235, -3379, -24877, 2298],[-17769, -17131, -10069, -30845],[17042, 21877, 8269, -24632],[26329, 16607, -30105, 20727]]"
