inputName,size,a[size]
values_84,22,"{-3739421398625266171, -3234170777478712782, 8539509191862852705, 9143908436562260720, 1468924782872681895, 2484875205134338201, 7081812957194240029, 7420183377271796621, 3189471694789025287, 1699835667242080919, -6765687759119290439, 5186204664959420856, -2374870411652875178, 5120466601494563384, 2685142254214410201, 8703220585548321344, 2943295998920465963, -219297759884116652, 8475507258129965341, 7287289182780702210, 5645804223970459773, -1365331220608269350"
values_30,13,"{3116683498404537090, -6111848376595823495, -2337675197114109251, 6317959656273025319, -5914519884180633293, -6525331364032650277, -8530506331578764734, -5610345383826439978, -1487530144092223462, 7801107890539236924, 3304915984355080708, 3021614290006324991, -5502929318856190704"
values_96,19,"{-1173396068710694295, 571340382403862538, 132901901255189522, 2325104354583260155, 2615272465229357072, -1600859136293993647, -6863936255476145068, 9162838486789164150, -354635885371920327, -7753465936405099127, 8027930686087902245, 165893323389857589, 5576153008183122730, 8846864776193239807, 3563435199325977685, 1544390040310286120, -4841554832427683699, 2664623164897293706, -1498072283942521080"
values_15,28,"{3663770889962793766, -1038307808275208724, 7062014792462735619, 949241907116790643, 1411647137423610418, -1136498050371367103, -1610564918108950281, 4562942560314182768, -226839412237102491, 6535816658590367285, -7482977256540129397, -8845749789981841438, -4131140595743902412, 2824012599322242675, 5801426115711020809, 6396711398452959445, 2190675269108228940, -1570822802591091162, 6240135825919962057, 3883541692183902468, -891165270302843408, -6639959185402645856, 3624522193002416305, 2222117466428916578, 2134670432516321243, -8702923636845463539, -7194983191712993469, -8273054827621749622"
values_16,15,"{3353045909994254158, -7634348772150940655, 4878571266073312822, 7290872994187980270, 6617590854443975503, -418903301883113591, 7799189400383075469, 7609311922678100338, -833276522959978862, -4478995344164254025, -677006246758945198, -7554139217419904792, 1347581801270857499, 2873344892400092875, 7698489964561610853"
values_94,9,"{747816719931219331, 6212648635990539086, 6386200296217236426, 679289857483024782, 1888647111490561058, -4843001115959505087, -6518086868755724868, -3827397954401110505, -3500651700772675570"
values_90,11,"{-8513019818014543078, 8274850308211996022, -6116613813769690533, -222808457288848248, 2858461599662692329, 5953486863738135868, -4186879160207952729, 6269440213466436800, 8226993017664153378, 4718554129567626790, 3219245054820505935"
values_52,5,"{6364284496303722276, -8816023791062988527, 2094673033144602858, 770390848444064856, 625546175745438687"
values_78,19,"{2274915584115321890, -2548645484620673214, 4458661005356024418, 4658608677648383246, 2307232055610661094, -402987785698299915, -5890889605490596609, 4298363882259592688, 1638841159756029948, 8349692581231057061, 7737094318805207685, 2791462246005864190, 1857743376895175772, -3564247517511771725, -3373354515921464300, -5660185344689127402, 2617002460466993500, -6852881570092285666, 8571419314320723890"
values_20,16,"{-5563903792608221807, -7019757099937098256, -7971800271361445515, 8393490228929885027, -4371071782020765265, -7024168383663058209, 5479631022436696312, -6450416627065809660, -4034722163012195303, 5947675560656369818, 5598629071081374110, 666288648142757140, 407229955803179985, -884336822583109447, 1509300354237337751, 362348632211666845"
