inputName,m,n
values_84,1412968428483976927,5431859078221906143
values_30,5951686055971654246,7842936751318325077
values_96,4698799743258440637,2801334248283794823
values_15,4880013545399612813,5569044885417666961
values_16,4880013545399612813,2801334248283794823
values_94,4698799743258440637,5431859078221906143
values_90,4698799743258440637,7842936751318325077
values_52,6341183772923220036,3563147073365094962
values_78,2686658035502684676,3170057502192327219
values_20,1692574402768088422,7842936751318325077
values_53,6341183772923220036,8699839111028497995
values_43,5847704540109169704,8699839111028497995
values_42,5847704540109169704,3563147073365094962
values_0,5050098343882192183,7842936751318325077
values_61,4713706693911460822,763826945679493138
values_97,4698799743258440637,6643173199072686228
values_14,4880013545399612813,5431859078221906143
values_87,1412968428483976927,6643173199072686228
values_50,6341183772923220036,7842936751318325077
values_83,1412968428483976927,8699839111028497995
values_67,4713706693911460822,6643173199072686228
values_86,1412968428483976927,2801334248283794823
values_23,1692574402768088422,8699839111028497995
values_64,4713706693911460822,5431859078221906143
values_44,5847704540109169704,5431859078221906143
values_71,2686658035502684676,763826945679493138
values_93,4698799743258440637,8699839111028497995
values_88,1412968428483976927,3170057502192327219
values_26,1692574402768088422,2801334248283794823
values_59,6341183772923220036,2369600073687632357
values_57,6341183772923220036,6643173199072686228
values_82,1412968428483976927,3563147073365094962
values_75,2686658035502684676,5569044885417666961
values_51,6341183772923220036,763826945679493138
values_7,5050098343882192183,6643173199072686228
values_92,4698799743258440637,3563147073365094962
values_56,6341183772923220036,2801334248283794823
values_47,5847704540109169704,6643173199072686228
values_95,4698799743258440637,5569044885417666961
values_98,4698799743258440637,3170057502192327219
values_8,5050098343882192183,3170057502192327219
values_18,4880013545399612813,3170057502192327219
values_28,1692574402768088422,3170057502192327219
values_81,1412968428483976927,763826945679493138
values_17,4880013545399612813,6643173199072686228
values_38,5951686055971654246,3170057502192327219
values_41,5847704540109169704,763826945679493138
values_73,2686658035502684676,8699839111028497995
values_66,4713706693911460822,2801334248283794823
values_58,6341183772923220036,3170057502192327219
values_70,2686658035502684676,7842936751318325077
values_46,5847704540109169704,2801334248283794823
values_11,4880013545399612813,763826945679493138
values_33,5951686055971654246,8699839111028497995
values_72,2686658035502684676,3563147073365094962
values_6,5050098343882192183,2801334248283794823
values_10,4880013545399612813,7842936751318325077
values_27,1692574402768088422,6643173199072686228
values_24,1692574402768088422,5431859078221906143
values_3,5050098343882192183,8699839111028497995
values_69,4713706693911460822,2369600073687632357
values_36,5951686055971654246,2801334248283794823
values_21,1692574402768088422,763826945679493138
values_5,5050098343882192183,5569044885417666961
values_49,5847704540109169704,2369600073687632357
values_1,5050098343882192183,763826945679493138
values_2,5050098343882192183,3563147073365094962
values_13,4880013545399612813,8699839111028497995
values_32,5951686055971654246,3563147073365094962
values_39,5951686055971654246,2369600073687632357
values_4,5050098343882192183,5431859078221906143
values_65,4713706693911460822,5569044885417666961
values_85,1412968428483976927,5569044885417666961
values_62,4713706693911460822,3563147073365094962
values_91,4698799743258440637,763826945679493138
values_25,1692574402768088422,5569044885417666961
values_63,4713706693911460822,8699839111028497995
values_12,4880013545399612813,3563147073365094962
values_79,2686658035502684676,2369600073687632357
values_54,6341183772923220036,5431859078221906143
values_9,5050098343882192183,2369600073687632357
values_74,2686658035502684676,5431859078221906143
values_22,1692574402768088422,3563147073365094962
values_89,1412968428483976927,2369600073687632357
values_48,5847704540109169704,3170057502192327219
values_99,4698799743258440637,2369600073687632357
values_60,4713706693911460822,7842936751318325077
values_34,5951686055971654246,5431859078221906143
values_31,5951686055971654246,763826945679493138
values_37,5951686055971654246,6643173199072686228
values_76,2686658035502684676,2801334248283794823
values_19,4880013545399612813,2369600073687632357
values_45,5847704540109169704,5569044885417666961
values_68,4713706693911460822,3170057502192327219
values_35,5951686055971654246,5569044885417666961
values_80,1412968428483976927,7842936751318325077
values_77,2686658035502684676,6643173199072686228
values_29,1692574402768088422,2369600073687632357
values_55,6341183772923220036,5569044885417666961
values_40,5847704540109169704,7842936751318325077
