inputName,n,key,arr[n]
values_84,15,1563166068,"{-97129589, 1109012767, -1857881425, 845765115, 1486252678, -1292012407, 1465194583, -1444938424, -73761186, 621835427, -1404713397, -1409921266, 655083662, 1231822986, 913745909"
values_30,25,66234386,"{-1859286803, -1330782501, 1741252878, -77478036, -1588047671, 115497309, 699372453, -1887468057, -408973324, 480399385, -1543359191, -1029716321, -1532290952, -585920027, -640634494, 1356318683, 1632884333, 68320266, 1909480947, 767976803, 2044444472, 93349546, 1484030080, -1442758067, 1052036451"
values_96,22,1284385676,"{295910677, 1492280442, 23413120, -1272639081, -322562857, 1415085931, -464127800, -1168759487, -100980766, 2054990764, -718248648, 688028185, -1423961361, 71739262, 905207665, 2130346810, 1432676257, -1467819969, 654952908, -635726583, 803835094, -441106295"
values_15,32,1678070952,"{1162293613, 1788169427, 687180068, -1875487744, -1939230839, -1289248966, -653434901, -1093871372, -1873380663, -2100932620, -244522094, -1350953094, 1070542076, -962518003, 1366783943, -1432692911, 1613914671, 1528168442, -1513860067, -499553338, -1620879544, 2017388796, -875191876, -941807766, 478458005, -133037289, -1586427092, 1910393659, -1296910814, 1468821700, 843112707, -1261254593"
values_16,32,1284385676,"{40992325, 2143495361, 1683792782, 613967191, -1934628831, -76895822, -822837427, 430675707, 440902395, 1127436867, -902842827, -1949552941, 2119309298, -1138579943, 1916987748, -272596441, -1934731883, 1010254455, -981728763, 1568563365, 1621818547, 1897958289, 2054036423, 1215665968, -858311259, -105391643, -1905942358, -1118985503, -1658482131, 614231824, -153796669, 1872527687"
values_94,22,1563166068,"{1574386184, 1329745225, -622834937, -1262354244, 529387083, 1567463741, -1730512643, 718498684, 34979131, 523320476, -1926543006, -189061462, -278890140, -1563375756, 1696542805, 2017846312, -1381616499, -1242341096, 1554046502, -1884092467, 27257568, 696801858"
values_90,22,66234386,"{676041499, 149458628, -775622062, -738447978, 1277426711, 1209416379, 1504943576, 545987178, 474636685, -817741928, 931340007, -937348462, 615116660, -857741090, 744682809, 1833573344, -1117257101, 634837023, -549566580, -981022665, 991929198, 875851798"
values_52,3,-1814159707,"{-71714740, -1321439983, 238956967"
values_78,8,1019134294,"{2085451383, -1503314703, -1602385156, -2077751645, -1836753041, 1031110594, -1680096128, 1019879015"
values_20,24,66234386,"{-980132354, 1960801248, -1442597709, 313440863, -1715933624, -1068814105, 563244192, -1485522726, -768961475, 484897434, -1207415651, -1706562771, 1673998937, -950193115, 212695262, 1406275507, -1630742290, 654094297, 801542299, 1439962193, 1909764071, -1866856100, -1976882076, -1927045876"
