inputName,m,n
values_84,36694416,786847213
values_30,394928422,1831105311
values_96,558287191,2128959738
values_15,402655359,28946551
values_16,402655359,2128959738
values_94,558287191,786847213
values_90,558287191,1831105311
values_52,412504210,71891650
values_78,1893736291,1114579331
values_20,817842494,1831105311
values_53,412504210,1464697742
values_43,895716302,1464697742
values_42,895716302,71891650
values_0,1143926468,1831105311
values_61,1123090782,1361990034
values_97,558287191,2026457611
values_14,402655359,786847213
values_87,36694416,2026457611
values_50,412504210,1831105311
values_83,36694416,1464697742
values_67,1123090782,2026457611
values_86,36694416,2128959738
values_23,817842494,1464697742
values_64,1123090782,786847213
values_44,895716302,786847213
values_71,1893736291,1361990034
values_93,558287191,1464697742
values_88,36694416,1114579331
values_26,817842494,2128959738
values_59,412504210,894671751
values_57,412504210,2026457611
values_82,36694416,71891650
values_75,1893736291,28946551
values_51,412504210,1361990034
values_7,1143926468,2026457611
values_92,558287191,71891650
values_56,412504210,2128959738
values_47,895716302,2026457611
values_95,558287191,28946551
values_98,558287191,1114579331
values_8,1143926468,1114579331
values_18,402655359,1114579331
values_28,817842494,1114579331
values_81,36694416,1361990034
values_17,402655359,2026457611
values_38,394928422,1114579331
values_41,895716302,1361990034
values_73,1893736291,1464697742
values_66,1123090782,2128959738
values_58,412504210,1114579331
values_70,1893736291,1831105311
values_46,895716302,2128959738
values_11,402655359,1361990034
values_33,394928422,1464697742
values_72,1893736291,71891650
values_6,1143926468,2128959738
values_10,402655359,1831105311
values_27,817842494,2026457611
values_24,817842494,786847213
values_3,1143926468,1464697742
values_69,1123090782,894671751
values_36,394928422,2128959738
values_21,817842494,1361990034
values_5,1143926468,28946551
values_49,895716302,894671751
values_1,1143926468,1361990034
values_2,1143926468,71891650
values_13,402655359,1464697742
values_32,394928422,71891650
values_39,394928422,894671751
values_4,1143926468,786847213
values_65,1123090782,28946551
values_85,36694416,28946551
values_62,1123090782,71891650
values_91,558287191,1361990034
values_25,817842494,28946551
values_63,1123090782,1464697742
values_12,402655359,71891650
values_79,1893736291,894671751
values_54,412504210,786847213
values_9,1143926468,894671751
values_74,1893736291,786847213
values_22,817842494,71891650
values_89,36694416,894671751
values_48,895716302,1114579331
values_99,558287191,894671751
values_60,1123090782,1831105311
values_34,394928422,786847213
values_31,394928422,1361990034
values_37,394928422,2026457611
values_76,1893736291,2128959738
values_19,402655359,894671751
values_45,895716302,28946551
values_68,1123090782,1114579331
values_35,394928422,28946551
values_80,36694416,1831105311
values_77,1893736291,2026457611
values_29,817842494,894671751
values_55,412504210,28946551
values_40,895716302,1831105311
